Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude
GBRC HQ,1221,Utah,SNOTEL,Sanpete,8801,39.32019,-111.48827
GBRC Meadows,1222,Utah,SNOTEL,Sanpete,9858,39.30229,-111.45383
Garden City Summit,1114,Utah,SNOTEL,Cache,7705,41.9215,-111.4693
Garden City Summit,11H07,Utah,Snow Course/Aerial Marker,Rich,7600,41.922,-111.46817
Gardner Peak,1066,Utah,SNOTEL,Washington,8322,37.40083,-113.45988
George Creek,1151,Utah,SNOTEL,Box Elder,8964,41.91562,-113.41154
Gold Basin,1304,Utah,SNOTEL,San Juan,10076,38.46516,-109.26332
Gooseberry RS,11L02,Utah,Snow Course/Aerial Marker,Sevier,8374,38.78903,-111.6887
Gooseberry RS,495,Utah,SNOTEL,Sevier,7944,38.80034,-111.68333
Gooseberry RS Up,1184,Utah,SNOTEL,Sevier,8396,38.7882,-111.68892
Goshute,2165,Utah,SCAN,Tooele,5487,39.99003,-114.00025
Grantsville,2152,Utah,SCAN,Tooele,4337,40.59089,-112.39258
Grantsville Reservoir,10UTGTVL,Utah,Reservoir,Tooele,5026,40.54185,-112.50567
Green River,2131,Utah,SCAN,Emery,4103,39.01825,-110.16264
Grouse Creek,2160,Utah,SCAN,Box Elder,5835,41.77846,-113.82048
Gunlock,09UTGUNL,Utah,Reservoir,Washington,3584,37.25136,-113.77556
Gunnison Reservoir,10216200,Utah,Reservoir,Sanpete,5380,39.206,-111.71084
Gutz Peak,1065,Utah,SNOTEL,Washington,6763,37.49617,-113.94235
Hals Canyon,2164,Utah,SCAN,Millard,5260,38.59445,-113.75102
Hardscrabble,896,Utah,SNOTEL,Morgan,7250,40.86833,-111.71865
Harms Way,2166,Utah,SCAN,San Juan,7055,38.31347,-109.23998
Harris Flat,514,Utah,SNOTEL,Kane,7792,37.48997,-112.57602
Hayden Fork,517,Utah,SNOTEL,Summit,9130,40.79669,-110.88472
Henrys Fork,1193,Utah,SNOLITE,Summit,10182,40.86313,-110.38145
Hewinta,521,Utah,SNOTEL,Summit,9500,40.95009,-110.48419
Hickerson Park,522,Utah,SNOTEL,Daggett,9122,40.90663,-109.96287
Hidden Springs,11J59,Utah,Snow Course/Aerial Marker,Salt Lake,5500,40.82005,-111.81297
Hobble Creek,1223,Utah,SNOTEL,Utah,7377,40.18538,-111.35971
Hobble Creek Summit,11J22,Utah,Snow Course/Aerial Marker,Wasatch,7399,40.18505,-111.35937
Holden,2127,Utah,SCAN,Millard,4745,39.19216,-112.40155
